t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9717,7423,1,4306,7911,2062,8648,8811,1,2
9721,7487,1,4450,7982,2152,8697,8834,1,2
9726,7541,1,4577,8060,2239,8750,8848,1,2
9733,7588,1,4732,8143,2341,8792,8863,1,2
9739,7643,1,4868,8201,2402,8831,8873,1,2
9742,7691,1,5010,8280,2488,8865,8887,1,2
9748,7738,1,5156,8347,2573,8903,8896,1,2
9752,7769,1,5292,8407,2667,8938,8901,1,2
9757,7814,1,5411,8472,2732,8969,8910,1,2
9760,7861,1,5545,8530,2813,8998,8916,1,2
9762,7901,1,5674,8584,2878,9026,8928,1,2
9763,7931,1,5818,8635,2963,9061,8939,1,2
9765,7962,1,5950,8692,3043,9084,8943,1,2
9768,7990,1,6064,8731,3116,9114,8949,1,2
9771,8047,1,6191,8783,3187,9139,8954,1,2
9773,8077,1,6295,8826,3282,9166,8962,1,2
9775,8114,1,6415,8866,3373,9183,8963,1,2
9777,8138,1,6537,8903,3460,9206,8965,1,2
9778,8171,1,6648,8944,3546,9230,8973,1,2
9779,8195,1,6770,8977,3620,9243,8978,1,2
9779,8218,1,6874,9002,3699,9261,8980,1,2
9780,8240,1,6990,9025,3796,9272,8986,1,2
9781,8258,1,7082,9049,3875,9288,8988,1,2
9781,8272,1,7172,9081,3952,9303,8991,1,2
9781,8298,1,7249,9118,4025,9318,8994,1,2
9782,8321,1,7338,9154,4096,9326,8998,1,2
9783,8338,1,7427,9175,4177,9340,9000,1,2
9783,8351,1,7510,9194,4243,9348,9004,1,2
9784,8371,1,7590,9216,4313,9355,9007,1,2
9785,8395,1,7669,9233,4354,9368,9010,1,2
9785,8408,1,7761,9252,4423,9382,9013,1,2
9785,8424,1,7819,9271,4488,9397,9014,1,2
9787,8435,1,7892,9287,4545,9408,9018,1,2
9787,8438,1,7954,9296,4599,9417,9020,1,2
9787,8450,1,8033,9311,4640,9427,9021,1,2
9788,8461,1,8096,9326,4695,9432,9024,1,2
9788,8472,1,8161,9340,4732,9439,9024,1,2
9788,8477,1,8235,9364,4785,9447,9025,1,2
9789,8486,1,8295,9375,4828,9453,9026,1,2
9789,8494,1,8338,9393,4871,9456,9026,1,2
9789,8498,1,8385,9397,4915,9460,9026,1,2
9789,8506,1,8432,9411,4956,9468,9028,1,2
9790,8508,1,8478,9422,4990,9474,9028,1,2
9790,8516,1,8510,9432,5027,9475,9028,1,2
9790,8520,1,8567,9437,5049,9480,9028,1,2
9790,8525,1,8617,9453,5100,9483,9028,1,2
9790,8533,1,8658,9463,5137,9486,9030,1,2
9790,8538,1,8707,9473,5171,9488,9030,1,2
9791,8539,1,8731,9481,5210,9490,9030,1,2
9791,8543,1,8776,9485,5243,9492,9032,1,2
9791,8544,1,8810,9491,5276,9493,9032,1,2
9791,8549,1,8846,9499,5310,9499,9032,1,2
9791,8554,1,8871,9503,5340,9502,9032,1,2
9791,8556,1,8899,9505,5373,9507,9032,1,2
9791,8561,1,8920,9516,5406,9511,9033,1,2
9791,8565,1,8949,9519,5431,9514,9033,1,2
9791,8569,1,8971,9521,5457,9517,9033,1,2
