t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
58,597,0,3212,1233,665,693,130,0,0
52,564,0,3196,1195,690,659,122,0,0
49,540,0,3166,1139,666,632,109,0,0
43,511,0,3097,1081,670,600,102,0,0
39,503,0,3029,1030,654,569,98,0,0
34,475,0,2983,978,656,543,91,0,0
31,447,0,2917,926,645,516,89,0,0
29,428,0,2859,879,654,493,82,0,0
28,407,0,2802,837,649,460,71,0,0
26,392,0,2755,794,655,438,69,0,0
23,383,0,2724,763,667,413,65,0,0
20,342,0,2669,721,689,390,60,0,0
18,327,0,2618,683,666,368,55,0,0
16,305,0,2554,651,645,352,55,0,0
14,294,0,2469,619,638,330,55,0,0
13,270,0,2385,580,632,308,48,0,0
12,256,0,2297,549,633,295,43,0,0
12,241,0,2220,528,613,278,41,0,0
11,225,0,2135,510,584,267,36,0,0
10,219,0,2076,492,568,253,35,0,0
10,218,0,2019,469,572,238,33,0,0
10,202,0,1974,434,576,225,32,0,0
9,189,0,1921,403,565,220,28,0,0
8,185,0,1856,386,534,207,27,0,0
9,175,0,1795,369,520,199,24,0,0
8,158,0,1740,350,501,193,21,0,0
7,140,0,1676,336,501,182,19,0,0
7,130,0,1599,318,472,168,16,0,0
7,118,0,1555,301,449,154,15,0,0
5,112,0,1492,287,432,145,11,0,0
5,110,0,1439,281,424,136,10,0,0
5,101,0,1376,266,402,126,9,0,0
4,96,0,1326,253,394,122,6,0,0
4,92,0,1270,243,394,115,8,0,0
4,94,0,1207,222,383,108,7,0,0
3,86,0,1154,214,378,102,6,0,0
3,79,0,1119,196,370,99,7,0,0
3,82,0,1079,195,364,96,7,0,0
3,75,0,1040,182,346,88,5,0,0
2,74,0,1001,171,340,82,5,0,0
2,67,0,974,161,328,81,5,0,0
2,64,0,922,156,338,76,5,0,0
2,60,0,876,140,311,73,5,0,0
2,52,0,839,131,295,70,3,0,0
2,48,0,796,122,287,68,3,0,0
1,49,0,779,116,275,66,3,0,0
1,48,0,740,112,266,65,1,0,0
1,48,0,710,106,260,64,1,0,0
1,45,0,676,98,244,58,1,0,0
1,43,0,656,94,245,55,1,0,0
1,42,0,630,92,237,50,1,0,0
1,38,0,615,81,223,46,0,0,0
1,36,0,588,78,221,43,0,0,0
1,32,0,568,76,207,40,0,0,0
1,28,0,536,71,207,38,0,0,0
1,25,0,519,68,203,38,0,0,0
1,23,0,500,63,185,37,0,0,0
1,25,0,481,60,173,35,0,0,0
1,25,0,463,55,169,33,0,0,0
1,16,0,447,54,171,32,0,0,0
0,15,0,417,52,170,25,0,0,0
0,13,0,407,50,161,24,0,0,0
0,10,0,386,47,158,24,0,0,0
0,10,0,369,46,146,23,0,0,0
0,8,0,355,43,135,22,0,0,0
0,9,0,344,41,132,21,0,0,0
0,9,0,333,36,125,21,0,0,0
0,7,0,321,36,115,20,0,0,0
0,7,0,307,34,117,20,0,0,0
0,8,0,292,31,114,17,0,0,0
0,7,0,275,31,111,17,0,0,0
0,4,0,267,29,98,17,0,0,0
0,4,0,251,28,98,17,0,0,0
0,4,0,244,25,101,15,0,0,0
0,4,0,243,25,96,13,0,0,0
0,3,0,232,22,91,12,0,0,0
0,3,0,226,21,93,12,0,0,0
0,2,0,223,20,92,12,0,0,0
0,2,0,211,19,90,10,0,0,0
0,2,0,198,18,87,10,0,0,0
0,1,0,192,14,86,9,0,0,0
0,1,0,185,13,86,9,0,0,0
0,1,0,173,13,82,9,0,0,0
0,1,0,165,14,89,8,0,0,0
0,1,0,157,12,87,8,0,0,0
0,1,0,148,12,82,7,0,0,0
0,1,0,142,11,86,7,0,0,0
