t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,4,0,102,15,22,0,0,0,0
0,4,0,100,14,23,0,0,0,0
0,2,0,94,13,22,0,0,0,0
0,2,0,90,13,22,0,0,0,0
0,2,0,90,13,23,0,0,0,0
0,2,0,84,12,20,0,0,0,0
0,1,0,84,10,19,0,0,0,0
0,1,0,83,10,19,0,0,0,0
0,1,0,78,10,15,0,0,0,0
0,0,0,77,9,15,0,0,0,0
0,0,0,75,8,15,0,0,0,0
0,0,0,74,8,15,0,0,0,0
0,0,0,70,8,16,0,0,0,0
0,0,0,67,8,16,0,0,0,0
0,0,0,65,6,13,0,0,0,0
0,0,0,63,6,11,0,0,0,0
0,0,0,62,6,11,0,0,0,0
0,0,0,61,6,9,0,0,0,0
0,0,0,59,6,9,0,0,0,0
0,0,0,58,6,11,0,0,0,0
0,0,0,56,6,11,0,0,0,0
0,0,0,56,6,12,0,0,0,0
0,0,0,56,5,12,0,0,0,0
0,0,0,52,5,11,0,0,0,0
0,0,0,48,3,9,0,0,0,0
0,0,0,45,3,7,0,0,0,0
0,0,0,43,3,6,0,0,0,0
0,0,0,42,3,6,0,0,0,0
0,0,0,39,2,6,0,0,0,0
0,0,0,39,2,6,0,0,0,0
0,0,0,39,1,4,0,0,0,0
0,0,0,39,1,3,0,0,0,0
0,0,0,38,1,3,0,0,0,0
0,0,0,37,1,3,0,0,0,0
0,0,0,36,1,2,0,0,0,0
0,0,0,34,0,4,0,0,0,0
0,0,0,33,0,3,0,0,0,0
0,0,0,33,0,3,0,0,0,0
0,0,0,30,0,3,0,0,0,0
0,0,0,30,0,3,0,0,0,0
0,0,0,30,0,3,0,0,0,0
0,0,0,30,0,3,0,0,0,0
0,0,0,29,0,3,0,0,0,0
0,0,0,29,0,3,0,0,0,0
0,0,0,25,0,3,0,0,0,0
0,0,0,25,0,4,0,0,0,0
0,0,0,25,0,5,0,0,0,0
0,0,0,25,0,5,0,0,0,0
0,0,0,23,0,4,0,0,0,0
0,0,0,23,0,4,0,0,0,0
0,0,0,21,0,3,0,0,0,0
0,0,0,21,0,3,0,0,0,0
0,0,0,21,0,3,0,0,0,0
0,0,0,20,0,3,0,0,0,0
0,0,0,18,0,2,0,0,0,0
0,0,0,18,0,3,0,0,0,0
0,0,0,18,0,3,0,0,0,0
0,0,0,16,0,4,0,0,0,0
0,0,0,16,0,4,0,0,0,0
0,0,0,16,0,4,0,0,0,0
0,0,0,14,0,3,0,0,0,0
0,0,0,14,0,3,0,0,0,0
0,0,0,14,0,3,0,0,0,0
0,0,0,14,0,3,0,0,0,0
0,0,0,13,0,2,0,0,0,0
0,0,0,13,0,3,0,0,0,0
0,0,0,13,0,3,0,0,0,0
0,0,0,13,0,3,0,0,0,0
0,0,0,12,0,2,0,0,0,0
0,0,0,12,0,2,0,0,0,0
0,0,0,12,0,2,0,0,0,0
0,0,0,12,0,3,0,0,0,0
0,0,0,12,0,3,0,0,0,0
