t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
6,1231,1578,7723,6944,3245,739,7509,787,4
6,1264,1616,7820,7019,3291,752,7592,809,4
6,1286,1655,7905,7097,3327,762,7668,829,4
6,1322,1691,7980,7204,3377,777,7746,849,4
6,1352,1726,8065,7270,3423,789,7829,863,4
6,1385,1760,8133,7349,3470,802,7929,883,4
6,1417,1792,8214,7417,3510,822,7996,909,4
6,1445,1828,8317,7492,3561,841,8077,923,4
6,1476,1875,8397,7560,3610,858,8146,944,4
6,1503,1917,8455,7625,3648,875,8221,966,4
6,1536,1957,8517,7690,3698,894,8290,997,4
6,1568,1996,8581,7752,3749,918,8348,1014,4
6,1593,2042,8641,7820,3784,935,8434,1030,4
6,1625,2082,8710,7870,3834,951,8492,1051,4
6,1653,2122,8781,7939,3874,968,8558,1073,4
6,1693,2163,8829,8001,3905,984,8630,1097,4
6,1742,2214,8888,8059,3952,1000,8684,1117,4
6,1775,2249,8944,8125,3984,1019,8729,1136,4
6,1826,2297,8997,8190,4020,1042,8779,1159,4
6,1872,2338,9041,8264,4054,1063,8830,1182,4
6,1910,2372,9087,8329,4085,1092,8880,1199,4
6,1961,2404,9136,8405,4128,1106,8927,1215,4
6,2016,2454,9172,8466,4156,1125,8967,1236,4
6,2061,2489,9218,8523,4201,1145,9015,1264,4
6,2105,2521,9261,8587,4248,1178,9061,1284,4
6,2159,2562,9316,8635,4291,1202,9096,1312,4
6,2200,2595,9353,8680,4330,1226,9138,1328,4
6,2231,2632,9383,8734,4367,1235,9165,1363,4
6,2291,2679,9412,8778,4399,1253,9202,1380,4
6,2333,2728,9441,8832,4444,1274,9222,1401,4
6,2383,2764,9482,8881,4478,1290,9258,1430,4
6,2444,2813,9515,8923,4523,1305,9285,1452,4
6,2504,2861,9541,8975,4568,1320,9322,1485,4
6,2560,2896,9572,9027,4602,1335,9353,1510,4
6,2611,2943,9594,9085,4634,1355,9374,1528,4
6,2653,2985,9622,9121,4675,1374,9404,1551,4
6,2712,3028,9645,9164,4711,1391,9435,1578,4
6,2769,3064,9657,9202,4740,1410,9448,1610,4
6,2825,3103,9668,9244,4773,1428,9475,1639,4
6,2868,3138,9685,9276,4810,1444,9497,1675,4
6,2924,3174,9701,9314,4848,1461,9522,1713,4
6,2974,3222,9712,9339,4899,1477,9536,1739,4
6,3010,3270,9726,9362,4934,1489,9548,1770,4
6,3065,3324,9743,9392,4970,1503,9562,1810,4
6,3126,3373,9759,9422,5013,1522,9574,1842,4
6,3176,3418,9770,9454,5048,1536,9592,1876,4
6,3229,3458,9776,9487,5079,1551,9604,1898,4
6,3278,3507,9788,9518,5118,1576,9614,1927,4
6,3326,3556,9797,9539,5168,1597,9626,1964,4
6,3372,3604,9806,9553,5212,1617,9643,1998,4
6,3417,3658,9813,9580,5244,1632,9657,2036,4
6,3471,3715,9822,9597,5292,1658,9667,2061,4
6,3522,3760,9827,9617,5332,1674,9678,2101,4
6,3571,3809,9833,9629,5363,1693,9686,2134,4
6,3640,3858,9837,9647,5400,1711,9697,2168,4
6,3696,3894,9842,9662,5437,1728,9703,2209,4
6,3754,3943,9852,9678,5476,1745,9709,2242,4
6,3813,4002,9859,9688,5508,1764,9713,2274,4
6,3874,4049,9863,9698,5543,1781,9719,2324,4
6,3921,4089,9866,9716,5580,1801,9722,2362,4
6,3983,4133,9867,9726,5630,1828,9726,2414,4
6,4034,4190,9872,9734,5678,1857,9730,2450,4
6,4094,4233,9873,9744,5711,1877,9732,2485,4
6,4154,4293,9875,9754,5759,1899,9735,2516,4
6,4215,4345,9876,9761,5812,1925,9737,2553,4
6,4266,4396,9877,9770,5854,1944,9740,2594,4
6,4318,4452,9877,9774,5891,1966,9744,2634,4
6,4366,4503,9880,9777,5931,1987,9750,2663,4
6,4418,4549,9882,9783,5960,2010,9755,2699,4
6,4470,4609,9885,9785,5990,2031,9756,2734,4
6,4534,4664,9886,9793,6026,2056,9757,2778,4
6,4590,4718,9886,9800,6062,2075,9759,2810,4
6,4661,4759,9887,9805,6104,2095,9764,2844,4
6,4710,4815,9887,9811,6145,2110,9765,2877,4
6,4768,4868,9887,9813,6180,2127,9767,2928,4
6,4821,4907,9888,9817,6214,2147,9767,2972,4
6,4884,4963,9889,9819,6255,2169,9767,3009,4
6,4946,5009,9889,9822,6288,2186,9768,3038,4
6,4999,5053,9889,9823,6329,2208,9769,3071,4
6,5059,5104,9889,9829,6363,2242,9769,3104,4
6,5104,5160,9891,9831,6393,2270,9770,3150,4
6,5156,5205,9891,9835,6423,2285,9771,3192,4
6,5215,5248,9891,9837,6463,2323,9772,3228,4
6,5269,5296,9891,9841,6507,2340,9775,3270,4
6,5321,5342,9891,9841,6537,2374,9775,3311,4
6,5375,5396,9891,9844,6566,2399,9775,3348,4
6,5428,5443,9891,9846,6600,2419,9776,3384,4
6,5492,5486,9891,9848,6638,2438,9776,3417,4
6,5549,5535,9891,9850,6675,2470,9777,3460,4
6,5579,5582,9891,9851,6714,2500,9777,3507,4
6,5635,5628,9891,9851,6756,2533,9777,3541,4
6,5692,5665,9891,9851,6792,2563,9778,3585,4
6,5748,5703,9891,9851,6846,2592,9778,3622,4
6,5804,5740,9891,9851,6897,2626,9778,3651,4
6,5849,5790,9891,9852,6935,2654,9778,3677,4
6,5891,5841,9891,9852,6973,2673,9778,3720,4
6,5935,5877,9891,9852,7012,2707,9778,3762,4
6,5969,5910,9891,9853,7053,2730,9778,3804,4
6,6022,5959,9892,9853,7107,2750,9778,3851,4
6,6064,6007,9892,9853,7141,2780,9778,3886,4
6,6116,6046,9892,9853,7188,2808,9778,3924,4
6,6169,6085,9892,9853,7230,2838,9778,3960,4
6,6202,6132,9892,9853,7278,2869,9778,3994,4
6,6246,6175,9892,9855,7323,2890,9778,4029,4
6,6297,6218,9892,9855,7365,2911,9778,4067,4
6,6344,6259,9892,9856,7402,2928,9778,4100,4
6,6393,6308,9892,9856,7435,2960,9778,4141,4
6,6443,6350,9892,9856,7477,2986,9778,4180,4
6,6474,6390,9892,9856,7517,3009,9778,4214,4
6,6524,6430,9892,9856,7547,3028,9778,4258,4
6,6569,6489,9892,9856,7579,3048,9778,4303,4
6,6616,6533,9892,9856,7605,3071,9778,4349,4
6,6649,6575,9892,9856,7641,3090,9778,4389,4
6,6696,6618,9892,9856,7680,3117,9778,4436,4
6,6745,6656,9892,9856,7711,3136,9778,4478,4
6,6784,6712,9892,9856,7741,3165,9778,4512,4
6,6826,6751,9892,9857,7771,3182,9778,4546,4
6,6864,6791,9892,9857,7816,3203,9778,4589,4
6,6901,6832,9892,9857,7849,3224,9778,4627,4
6,6934,6878,9892,9857,7893,3249,9778,4666,4
