t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9994,9594,9420,5321,5882,8543,9710,5560,9711,9996
9994,9579,9406,5236,5783,8504,9704,5462,9699,9996
9994,9558,9392,5130,5691,8463,9697,5367,9689,9996
9994,9550,9385,5022,5617,8423,9682,5281,9679,9996
9994,9531,9361,4919,5520,8385,9671,5185,9668,9996
9994,9512,9345,4824,5436,8344,9657,5093,9654,9996
9994,9491,9329,4738,5339,8302,9646,4998,9644,9996
9994,9472,9303,4668,5260,8269,9638,4914,9635,9996
9994,9450,9288,4595,5163,8230,9626,4823,9627,9996
9994,9430,9267,4536,5077,8198,9618,4741,9615,9996
9994,9408,9246,4477,5006,8151,9606,4657,9605,9996
9994,9388,9224,4402,4920,8105,9599,4559,9592,9996
9994,9361,9199,4315,4849,8060,9582,4491,9583,9996
9994,9335,9169,4227,4782,8009,9571,4409,9563,9996
9994,9318,9136,4154,4707,7947,9562,4328,9548,9996
9994,9289,9112,4087,4639,7896,9557,4237,9525,9996
9994,9261,9089,4022,4552,7833,9549,4145,9512,9996
9994,9236,9060,3934,4482,7784,9537,4047,9498,9996
9994,9216,9020,3852,4408,7725,9527,3966,9488,9996
9994,9189,8995,3764,4325,7662,9516,3866,9462,9996
9994,9161,8968,3684,4231,7604,9508,3771,9450,9996
9994,9144,8942,3602,4142,7554,9494,3680,9436,9996
9994,9125,8918,3518,4060,7503,9482,3609,9425,9996
9994,9100,8883,3432,3975,7453,9462,3527,9411,9996
9994,9061,8859,3344,3895,7394,9446,3459,9393,9996
9994,9036,8824,3259,3807,7352,9434,3384,9366,9996
9994,9001,8786,3179,3729,7295,9421,3295,9345,9996
9994,8983,8755,3101,3641,7242,9405,3183,9327,9996
9994,8960,8714,3000,3572,7194,9386,3085,9314,9996
9994,8925,8688,2901,3463,7150,9376,2994,9305,9996
9994,8899,8654,2805,3384,7100,9362,2911,9279,9996
9994,8876,8621,2703,3305,7048,9351,2825,9256,9996
9994,8851,8594,2613,3212,7000,9334,2742,9233,9996
9994,8822,8570,2540,3147,6954,9327,2671,9223,9996
9994,8801,8526,2453,3078,6895,9305,2584,9209,9996
9994,8777,8496,2349,3013,6842,9295,2489,9196,9996
9994,8756,8455,2257,2950,6798,9273,2406,9175,9996
9994,8731,8416,2145,2881,6753,9256,2345,9168,9996
9994,8706,8386,2040,2818,6721,9235,2266,9136,9996
9994,8677,8351,1940,2751,6662,9222,2189,9119,9996
9994,8651,8310,1836,2688,6618,9204,2090,9096,9996
9994,8624,8272,1737,2600,6570,9190,2009,9079,9996
9994,8593,8241,1655,2525,6532,9179,1929,9062,9996
9994,8566,8194,1567,2460,6488,9156,1858,9040,9996
9994,8531,8153,1468,2400,6449,9148,1779,9026,9996
9994,8501,8099,1381,2318,6412,9129,1716,8999,9996
9994,8473,8058,1289,2235,6373,9112,1650,8981,9996
9994,8446,8015,1216,2166,6330,9089,1585,8956,9996
9994,8418,7973,1158,2082,6276,9078,1501,8927,9996
9994,8379,7936,1097,2008,6244,9060,1423,8903,9996
9994,8341,7878,1024,1923,6201,9043,1375,8887,9996
9994,8303,7837,961,1848,6158,9024,1303,8853,9996
9994,8259,7801,907,1784,6108,9007,1251,8843,9996
9994,8227,7763,854,1713,6069,8988,1181,8829,9996
9994,8187,7724,812,1634,6026,8974,1108,8797,9996
9994,8143,7682,772,1573,5976,8952,1055,8768,9996
